"reviewer_id","state","city","street","latitude","longitude","rating_count","review_time","review_date","days_since_review","rating_num"
"1","TX","Austin","13749 US-183 Hwy","30.460718","-97.792874","1240","3 months ago","2025-03-03","90","1"
"2","TX","Austin","13749 US-183 Hwy","30.460718","-97.792874","1240","5 days ago","2025-05-27","5","4"
"3","TX","Austin","13749 US-183 Hwy","30.460718","-97.792874","1240","5 days ago","2025-05-27","5","1"
"4","TX","Austin","13749 US-183 Hwy","30.460718","-97.792874","1240","a month ago","2025-05-02","30","5"
"5","TX","Austin","13749 US-183 Hwy","30.460718","-97.792874","1240","2 months ago","2025-04-02","60","1"
"6","TX","Austin","13749 US-183 Hwy","30.460718","-97.792874","1240","3 weeks ago","2025-05-11","21","1"
"7","TX","Austin","13749 US-183 Hwy","30.460718","-97.792874","1240","3 months ago","2025-03-03","90","1"
"8","TX","Austin","13749 US-183 Hwy","30.460718","-97.792874","1240","a year ago","2024-06-01","365","1"
"9","TX","Austin","13749 US-183 Hwy","30.460718","-97.792874","1240","3 months ago","2025-03-03","90","1"
"10","TX","Austin","13749 US-183 Hwy","30.460718","-97.792874","1240","3 months ago","2025-03-03","90","4"
"11","TX","Austin","13749 US-183 Hwy","30.460718","-97.792874","1240","3 months ago","2025-03-03","90","1"
"12","TX","Austin","13749 US-183 Hwy","30.460718","-97.792874","1240","6 months ago","2024-12-03","180","2"
"13","TX","Austin","13749 US-183 Hwy","30.460718","-97.792874","1240","6 months ago","2024-12-03","180","1"
"14","TX","Austin","13749 US-183 Hwy","30.460718","-97.792874","1240","a year ago","2024-06-01","365","3"
"15","TX","Austin","13749 US-183 Hwy","30.460718","-97.792874","1240","5 months ago","2025-01-02","150","1"
"16","TX","Austin","13749 US-183 Hwy","30.460718","-97.792874","1240","2 months ago","2025-04-02","60","2"
"17","TX","Austin","13749 US-183 Hwy","30.460718","-97.792874","1240","a year ago","2024-06-01","365","4"
"18","TX","Austin","13749 US-183 Hwy","30.460718","-97.792874","1240","2 months ago","2025-04-02","60","1"
"19","TX","Austin","13749 US-183 Hwy","30.460718","-97.792874","1240","7 months ago","2024-11-03","210","1"
"20","TX","Austin","13749 US-183 Hwy","30.460718","-97.792874","1240","7 months ago","2024-11-03","210","4"
"21","TX","Austin","13749 US-183 Hwy","30.460718","-97.792874","1240","10 months ago","2024-08-05","300","1"
"22","TX","Austin","13749 US-183 Hwy","30.460718","-97.792874","1240","4 years ago","2021-06-02","1460","1"
"23","TX","Austin","13749 US-183 Hwy","30.460718","-97.792874","1240","a month ago","2025-05-02","30","2"
"24","TX","Austin","13749 US-183 Hwy","30.460718","-97.792874","1240","8 months ago","2024-10-04","240","1"
"25","TX","Austin","13749 US-183 Hwy","30.460718","-97.792874","1240","4 months ago","2025-02-01","120","1"
"26","TX","Austin","13749 US-183 Hwy","30.460718","-97.792874","1240","6 months ago","2024-12-03","180","1"
"27","TX","Austin","13749 US-183 Hwy","30.460718","-97.792874","1240","a month ago","2025-05-02","30","4"
"28","TX","Austin","13749 US-183 Hwy","30.460718","-97.792874","1240","a month ago","2025-05-02","30","2"
"29","TX","Austin","13749 US-183 Hwy","30.460718","-97.792874","1240","3 months ago","2025-03-03","90","1"
"30","TX","Austin","13749 US-183 Hwy","30.460718","-97.792874","1240","3 years ago","2022-06-02","1095","1"
"31","TX","Austin","13749 US-183 Hwy","30.460718","-97.792874","1240","2 years ago","2023-06-02","730","1"
"32","TX","Austin","13749 US-183 Hwy","30.460718","-97.792874","1240","9 months ago","2024-09-04","270","2"
"33","TX","Austin","13749 US-183 Hwy","30.460718","-97.792874","1240","a year ago","2024-06-01","365","1"
"34","TX","Austin","13749 US-183 Hwy","30.460718","-97.792874","1240","a year ago","2024-06-01","365","1"
"35","TX","Austin","13749 US-183 Hwy","30.460718","-97.792874","1240","10 months ago","2024-08-05","300","2"
"36","TX","Austin","13749 US-183 Hwy","30.460718","-97.792874","1240","a year ago","2024-06-01","365","1"
"37","TX","Austin","13749 US-183 Hwy","30.460718","-97.792874","1240","7 months ago","2024-11-03","210","1"
"38","TX","Austin","13749 US-183 Hwy","30.460718","-97.792874","1240","4 months ago","2025-02-01","120","5"
"39","TX","Austin","13749 US-183 Hwy","30.460718","-97.792874","1240","3 months ago","2025-03-03","90","5"
"40","TX","Austin","13749 US-183 Hwy","30.460718","-97.792874","1240","9 months ago","2024-09-04","270","1"
"41","TX","Austin","13749 US-183 Hwy","30.460718","-97.792874","1240","11 months ago","2024-07-06","330","1"
"42","TX","Austin","13749 US-183 Hwy","30.460718","-97.792874","1240","a year ago","2024-06-01","365","1"
"43","TX","Austin","13749 US-183 Hwy","30.460718","-97.792874","1240","a year ago","2024-06-01","365","3"
"44","TX","Austin","13749 US-183 Hwy","30.460718","-97.792874","1240","7 months ago","2024-11-03","210","5"
"45","TX","Austin","13749 US-183 Hwy","30.460718","-97.792874","1240","4 months ago","2025-02-01","120","1"
"46","TX","Austin","13749 US-183 Hwy","30.460718","-97.792874","1240","a year ago","2024-06-01","365","2"
"47","TX","Austin","13749 US-183 Hwy","30.460718","-97.792874","1240","5 months ago","2025-01-02","150","1"
"48","TX","Austin","13749 US-183 Hwy","30.460718","-97.792874","1240","a year ago","2024-06-01","365","1"
"49","TX","Austin","13749 US-183 Hwy","30.460718","-97.792874","1240","a year ago","2024-06-01","365","1"
"50","TX","Austin","13749 US-183 Hwy","30.460718","-97.792874","1240","a year ago","2024-06-01","365","1"
"51","TX","Austin","13749 US-183 Hwy","30.460718","-97.792874","1240","10 months ago","2024-08-05","300","1"
"52","TX","Austin","13749 US-183 Hwy","30.460718","-97.792874","1240","a year ago","2024-06-01","365","1"
"53","TX","Austin","13749 US-183 Hwy","30.460718","-97.792874","1240","a year ago","2024-06-01","365","1"
"54","TX","Austin","13749 US-183 Hwy","30.460718","-97.792874","1240","a year ago","2024-06-01","365","3"
"55","TX","Austin","13749 US-183 Hwy","30.460718","-97.792874","1240","7 months ago","2024-11-03","210","4"
"56","TX","Austin","13749 US-183 Hwy","30.460718","-97.792874","1240","5 months ago","2025-01-02","150","3"
"57","TX","Austin","13749 US-183 Hwy","30.460718","-97.792874","1240","a year ago","2024-06-01","365","4"
"58","TX","Austin","13749 US-183 Hwy","30.460718","-97.792874","1240","a year ago","2024-06-01","365","1"
"59","TX","Austin","13749 US-183 Hwy","30.460718","-97.792874","1240","a year ago","2024-06-01","365","4"
"60","TX","Austin","13749 US-183 Hwy","30.460718","-97.792874","1240","4 months ago","2025-02-01","120","4"
"61","TX","Austin","13749 US-183 Hwy","30.460718","-97.792874","1240","10 months ago","2024-08-05","300","1"
"62","TX","Austin","13749 US-183 Hwy","30.460718","-97.792874","1240","7 months ago","2024-11-03","210","1"
"63","TX","Austin","13749 US-183 Hwy","30.460718","-97.792874","1240","2 years ago","2023-06-02","730","2"
"64","TX","Austin","13749 US-183 Hwy","30.460718","-97.792874","1240","a year ago","2024-06-01","365","5"
"65","TX","Austin","13749 US-183 Hwy","30.460718","-97.792874","1240","2 years ago","2023-06-02","730","3"
"66","TX","Austin","13749 US-183 Hwy","30.460718","-97.792874","1240","3 years ago","2022-06-02","1095","2"
"67","TX","Austin","13749 US-183 Hwy","30.460718","-97.792874","1240","4 months ago","2025-02-01","120","1"
"68","TX","Austin","13749 US-183 Hwy","30.460718","-97.792874","1240","a year ago","2024-06-01","365","2"
"69","TX","Austin","13749 US-183 Hwy","30.460718","-97.792874","1240","a year ago","2024-06-01","365","1"
"70","TX","Austin","13749 US-183 Hwy","30.460718","-97.792874","1240","a year ago","2024-06-01","365","1"
"71","TX","Austin","13749 US-183 Hwy","30.460718","-97.792874","1240","a year ago","2024-06-01","365","1"
"72","TX","Austin","13749 US-183 Hwy","30.460718","-97.792874","1240","a year ago","2024-06-01","365","3"
"73","TX","Austin","13749 US-183 Hwy","30.460718","-97.792874","1240","2 years ago","2023-06-02","730","3"
"74","TX","Austin","13749 US-183 Hwy","30.460718","-97.792874","1240","5 years ago","2020-06-02","1825","1"
"75","TX","Austin","13749 US-183 Hwy","30.460718","-97.792874","1240","2 years ago","2023-06-02","730","1"
"76","TX","Austin","13749 US-183 Hwy","30.460718","-97.792874","1240","2 years ago","2023-06-02","730","1"
"77","TX","Austin","13749 US-183 Hwy","30.460718","-97.792874","1240","a year ago","2024-06-01","365","4"
