Country Name,Metric,Year,Life Expectancy
Afghanistan,Total,1960,32.5
Afghanistan,Male,1960,31.9
Afghanistan,Female,1960,33.3
Africa Eastern and Southern,Total,1960,44.1
Africa Eastern and Southern,Male,1960,42.6
Africa Eastern and Southern,Female,1960,45.7
Africa Western and Central,Total,1960,37.8
Africa Western and Central,Male,1960,36.5
Africa Western and Central,Female,1960,39.4
Albania,Female,1960,57.8
Albania,Male,1960,51.4
Albania,Total,1960,54.4
Algeria,Female,1960,43.6
Algeria,Total,1960,40.5
Algeria,Male,1960,37.9
American Samoa,Female,1960,64.2
American Samoa,Total,1960,61.5
American Samoa,Male,1960,58.6
Andorra,Total,1960,49.7
Andorra,Male,1960,47.3
Andorra,Female,1960,52.3
Angola,Male,1960,36.6
Angola,Total,1960,38.2
Angola,Female,1960,39.9
Antigua and Barbuda,Male,1960,58.9
Antigua and Barbuda,Female,1960,63.8
Antigua and Barbuda,Total,1960,61.6
Arab World,Male,1960,43.3
Arab World,Female,1960,46.7
Arab World,Total,1960,45.0
Argentina,Female,1960,67.6
Argentina,Male,1960,60.9
Argentina,Total,1960,64.0
Armenia,Total,1960,61.4
Armenia,Male,1960,58.3
Armenia,Female,1960,64.6
Aruba,Male,1960,60.6
Aruba,Female,1960,67.8
Aruba,Total,1960,64.2
Australia,Total,1960,70.8
Australia,Male,1960,67.8
Australia,Female,1960,74.0
Austria,Total,1960,68.6
Austria,Male,1960,65.4
Austria,Female,1960,71.9
Azerbaijan,Female,1960,60.0
Azerbaijan,Total,1960,55.8
Azerbaijan,Male,1960,51.4
"Bahamas, The",Female,1960,65.7
"Bahamas, The",Male,1960,60.0
"Bahamas, The",Total,1960,62.9
Bahrain,Female,1960,51.4
Bahrain,Total,1960,50.3
Bahrain,Male,1960,49.6
Bangladesh,Female,1960,44.3
Bangladesh,Male,1960,45.1
Bangladesh,Total,1960,44.7
Barbados,Male,1960,62.3
Barbados,Total,1960,64.6
Barbados,Female,1960,66.2
Belarus,Male,1960,65.9
Belarus,Female,1960,72.7
Belarus,Total,1960,69.3
Belgium,Total,1960,69.7
Belgium,Female,1960,72.8
Belgium,Male,1960,66.8
Belize,Male,1960,56.0
Belize,Female,1960,60.4
Belize,Total,1960,58.2
Benin,Total,1960,38.2
Benin,Female,1960,39.0
Benin,Male,1960,37.4
Bermuda,Male,1960,64.3
Bermuda,Total,1960,67.2
Bermuda,Female,1960,70.2
Bhutan,Female,1960,34.4
Bhutan,Total,1960,33.5
Bhutan,Male,1960,32.6
Bolivia,Male,1960,41.2
Bolivia,Female,1960,45.1
Bolivia,Total,1960,43.1
Bosnia and Herzegovina,Female,1960,63.7
Bosnia and Herzegovina,Male,1960,58.4
Bosnia and Herzegovina,Total,1960,61.0
Botswana,Total,1960,50.4
Botswana,Male,1960,47.8
Botswana,Female,1960,52.8
Brazil,Male,1960,50.3
Brazil,Total,1960,52.7
Brazil,Female,1960,55.2
British Virgin Islands,Female,1960,60.6
British Virgin Islands,Total,1960,59.6
British Virgin Islands,Male,1960,58.6
Brunei Darussalam,Female,1960,57.2
Brunei Darussalam,Male,1960,56.4
Brunei Darussalam,Total,1960,56.8
Bulgaria,Total,1960,69.2
Bulgaria,Female,1960,71.0
Bulgaria,Male,1960,67.6
Burkina Faso,Female,1960,37.0
Burkina Faso,Total,1960,35.9
Burkina Faso,Male,1960,34.8
Burundi,Male,1960,41.5
Burundi,Total,1960,43.0
Burundi,Female,1960,44.5
Cabo Verde,Total,1960,49.4
Cabo Verde,Male,1960,47.1
Cabo Verde,Female,1960,51.5
Cambodia,Male,1960,40.5
